event_id,country,year,program,event_name,source_url,lots,prices_reported,weights_reported,buyers_reported,price_coverage,weight_coverage,buyer_coverage
9b41db41829ea486,Nicaragua,2004,COE,2004,https://allianceforcoffeeexcellence.org/nicaragua-2004/,29,29,0,29,1,0,1
9c4359f85637f806,Mexico,2015,COE,2015,https://allianceforcoffeeexcellence.org/mexico-2015/,17,17,0,17,1,0,1
9f945028bafe640f,Brazil,1999,COE,1999,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-1999/,10,10,0,10,1,0,1
a17342050c271e78,Guatemala,2008,COE,2008,https://allianceforcoffeeexcellence.org/guatemala-2008/,25,25,0,25,1,0,1
a2287dd141a2aa33,Brazil,2005,COE,2005,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2005/,36,36,0,36,1,0,1
a4ff42ee1c56fcb6,El Salvador,2005,COE,2005,https://allianceforcoffeeexcellence.org/el-salvador-2005/,17,17,0,17,1,0,1
a58384c85569435c,Nicaragua,2012,COE,2012,https://allianceforcoffeeexcellence.org/nicaragua-2012/,25,25,0,25,1,0,1
a66ac5503b74bdc0,Rwanda,2014,COE,2014,https://allianceforcoffeeexcellence.org/rwanda-2014/,28,28,0,28,1,0,1
a715bdb54ff0d688,Nicaragua,2021,COE,Nicaragua 2021,https://allianceforcoffeeexcellence.org/nicaragua-2021/,26,26,26,26,1,1,1
a788c4997f41e4fb,Burundi,2013,COE,2013,https://allianceforcoffeeexcellence.org/burundi-2013/,14,14,0,14,1,0,1
a888e8977fcf5201,Guatemala,2024,COE,Guatemala 2024,https://allianceforcoffeeexcellence.org/guatemala-2024/,38,30,30,30,0.7894736842105263,0.7894736842105263,0.7894736842105263
a9c5085d9aa7d8bf,Peru,2019,COE,2019,https://allianceforcoffeeexcellence.org/peru-2019/,24,24,24,24,1,1,1
aaed34d3b88aef8b,Honduras,2009,COE,2009,https://allianceforcoffeeexcellence.org/honduras-2009/,37,37,0,37,1,0,1
ab20ca6fa71477c3,Brazil,2003,COE,2003,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2003/,43,43,0,43,1,0,1
ad438a1492b82749,Rwanda,2010,COE,2010,https://allianceforcoffeeexcellence.org/rwanda-2010/,22,22,0,22,1,0,1
ada629ce75da8ae0,El Salvador,2006,COE,2006,https://allianceforcoffeeexcellence.org/el-salvador-2006/,23,23,0,23,1,0,1
ae19c1e1f76a37ad,Guatemala,2001,COE,2001,https://allianceforcoffeeexcellence.org/guatemala-2001/,15,15,0,15,1,0,1
b049d78ce4ab573e,Costa Rica,2023,COE,Costa Rica 2023,https://allianceforcoffeeexcellence.org/costa-rica-2023/,33,33,33,33,1,1,1
b0fc9afec2b36341,Guatemala,2025,COE,Guatemala 2025,https://allianceforcoffeeexcellence.org/guatemala-2025/,33,33,33,0,1,1,0
b2252d20dd28d7dd,Brazil,2015,COE,2015,https://allianceforcoffeeexcellence.org/brazil-pulped-naturals-2015/,22,22,0,22,1,0,1
