country,year,rank,farm,process_group,process,variety,process_family,source_url
Ethiopia,2021,14,NA,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,15,NA,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,16,NA,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,18,NA,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,19,NA,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,21,NA,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,23,NA,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,25,NA,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,26,NA,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,27,NA,NA,Honey,74110,Honey / pulped natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,28,NA,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2021,29,NA,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2021/
Ethiopia,2022,1a,Legese,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,3a,A/ Temam,NA,Washed,74110,Washed,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,4,Bukato,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,5,Samuel,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,6,Tilahune,NA,Natural,74165,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,7,Wolde,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,8,Muluneh,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,9,Abebe,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,10,Nare,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,11,Aman,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,12,Yosefe Kasaye,NA,Natural,744,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,13,Abiyot,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,14,Dush,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
