country,year,event_name,event_type,source_url,accessed_at,active,notes
Mexico,2024,Mexico 2024,COE,https://allianceforcoffeeexcellence.org/mexico-2024/,2026-09-11,TRUE,Official ACE historical results page
Mexico,2025,Mexico 2025,COE,https://allianceforcoffeeexcellence.org/mexico-2025/,2026-09-11,TRUE,Official ACE historical results page
Nicaragua,2002,2002,COE,https://allianceforcoffeeexcellence.org/nicaragua-2002/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2003,2003,COE,https://allianceforcoffeeexcellence.org/nicaragua-2003/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2004,2004,COE,https://allianceforcoffeeexcellence.org/nicaragua-2004/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2005,2005,COE,https://allianceforcoffeeexcellence.org/nicaragua-2005/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2006,2006,COE,https://allianceforcoffeeexcellence.org/nicaragua-2006/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2007,2007,COE,https://allianceforcoffeeexcellence.org/nicaragua-2007/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2008,2008,COE,https://allianceforcoffeeexcellence.org/nicaragua-2008/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2009,2009,COE,https://allianceforcoffeeexcellence.org/nicaragua-2009/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2010,2010,COE,https://allianceforcoffeeexcellence.org/nicaragua-2010/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2011,2011,COE,https://allianceforcoffeeexcellence.org/nicaragua-2011/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2012,2012,COE,https://allianceforcoffeeexcellence.org/nicaragua-2012/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2014,2014,COE,https://allianceforcoffeeexcellence.org/nicaragua-2014/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2015,2015,COE,https://allianceforcoffeeexcellence.org/nicaragua-2015/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2017,2017,COE,https://allianceforcoffeeexcellence.org/nicaragua-2017/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2018,2018,COE,https://allianceforcoffeeexcellence.org/nicaragua-2018/,2026-09-13,TRUE,Official ACE historical results page
Nicaragua,2020,Nicaragua 2020,COE,https://allianceforcoffeeexcellence.org/nicaragua-2020/,2026-09-11,TRUE,Official ACE historical results page
Nicaragua,2021,Nicaragua 2021,COE,https://allianceforcoffeeexcellence.org/nicaragua-2021/,2026-09-11,TRUE,Official ACE historical results page
Nicaragua,2022,Nicaragua 2022,COE,https://allianceforcoffeeexcellence.org/nicaragua-2022/,2026-09-11,TRUE,Official ACE historical results page
Nicaragua,2023,Nicaragua 2023,COE,https://allianceforcoffeeexcellence.org/nicaragua-2023/,2026-09-11,TRUE,Official ACE historical results page
Nicaragua,2024,Nicaragua 2024,COE,https://allianceforcoffeeexcellence.org/nicaragua-2024/,2026-09-11,TRUE,Official ACE historical results page
Nicaragua,2025,Nicaragua 2025,COE,https://allianceforcoffeeexcellence.org/nicaragua-2025/,2026-09-11,TRUE,Official ACE historical results page
Peru,2017,2017,COE,https://allianceforcoffeeexcellence.org/peru-2017/,2026-09-13,TRUE,Official ACE historical results page
Peru,2018,2018,COE,https://allianceforcoffeeexcellence.org/peru-2018/,2026-09-13,TRUE,Official ACE historical results page
Peru,2019,2019,COE,https://allianceforcoffeeexcellence.org/peru-2019/,2026-09-13,TRUE,Official ACE historical results page
Peru,2020,Peru 2020,COE,https://allianceforcoffeeexcellence.org/peru-2020/,2026-09-11,TRUE,Official ACE historical results page
Peru,2021,Peru 2021,COE,https://allianceforcoffeeexcellence.org/peru-2021/,2026-09-11,TRUE,Official ACE historical results page
Peru,2022,Peru 2022,COE,https://allianceforcoffeeexcellence.org/peru-2022/,2026-09-11,TRUE,Official ACE historical results page
Peru,2023,Peru 2023,COE,https://allianceforcoffeeexcellence.org/peru-2023/,2026-09-11,TRUE,Official ACE historical results page
Peru,2024,Peru 2024,COE,https://allianceforcoffeeexcellence.org/peru-2024/,2026-09-11,TRUE,Official ACE historical results page
Peru,2025,Peru 2025,COE,https://allianceforcoffeeexcellence.org/peru-2025/,2026-09-11,TRUE,Official ACE historical results page
Rwanda,2008,2008,COE,https://allianceforcoffeeexcellence.org/rwanda-2008/,2026-09-13,TRUE,Official ACE historical results page
Rwanda,2010,2010,COE,https://allianceforcoffeeexcellence.org/rwanda-2010/,2026-09-13,TRUE,Official ACE historical results page
Rwanda,2011,2011,COE,https://allianceforcoffeeexcellence.org/rwanda-2011/,2026-09-13,TRUE,Official ACE historical results page
Rwanda,2012,2012,COE,https://allianceforcoffeeexcellence.org/rwanda-2012/,2026-09-13,TRUE,Official ACE historical results page
Rwanda,2013,2013,COE,https://allianceforcoffeeexcellence.org/rwanda-2013/,2026-09-13,TRUE,Official ACE historical results page
Rwanda,2014,2014,COE,https://allianceforcoffeeexcellence.org/rwanda-2014/,2026-09-13,TRUE,Official ACE historical results page
